CODIGO;CARRERA
001;Enfermería
002;Prof. de Danza con Orientación en Expresión Corporal
003;Prof. de Ed. Especial - Orientación en Ciegos y Disminuidos Visuales
004;Prof. de Ed. Especial - Orientación en Discapacidad Neuro-Motora
005;Prof. de Ed. Especial - Orientación en Sordos e Hipoacúsicos
006;Prof. de Ed. Física
007;Prof. de Ed. Física - Orientación Tiempo Libre y Recreación
008;Prof. de Ed. Inicial
009;Prof. de Ed. Primaria - Orientación en Ed. Hospitalaria y Domiciliaria
010;Prof. de Ed. Primaria - Orientación en Ed. InterCultural Bilingüe
011;Prof. de Ed. Primaria - Orientación en Ed. Permanente de Jóvenes y Adultos
012;Prof. de Ed. Primaria - Orientación en Ed. Rural
013;Prof. de Ed. Secundaria de Biología
014;Prof. de Ed. Secundaria en Ciencia Política
015;Prof. de Ed. Secundaria en Ciencias de la Administración
016;Prof. de Ed. Secundaria en Economía
017;Prof. de Ed. Secundaria en Filosofía
018;Prof. de Ed. Secundaria en Física
019;Prof. de Ed. Secundaria en Geografía
020;Prof. de Ed. Secundaria en Historia
021;Prof. de Ed. Secundaria en Informática
022;Prof. de Ed. Secundaria en Lengua y Literatura
023;Prof. de Ed. Secundaria en Matemática
024;Prof. de Ed. Secundaria en Psicología
025;Prof. de Ed. Secundaria en Química
026;Prof. de Ed. Secundaria en Sociología
027;Prof. de Ed. Secundaria en Tecnologías de Información y la Comunicación
028;Prof. de Ed. Sup. en Ciencias de la Ed.
029;Prof. de Ed. Sup. en Geografía
030;Prof. de Ed. Sup. en Matemática
031;Prof. de Ed. Tecnológica
032;Prof. de Francés
033;Prof. de Inglés
034;Prof. de Música
035;Prof. de Portugués
036;Prof. de Teatro
037;Prof. en Art. Visuales - Orientación en Cerámica
038;Prof. en Art. Visuales - Orientación en Fotografía
039;Prof. en Art. Visuales - Orientación en Grabado
040;Prof. en Art. Visuales - Orientación en Pintura
041;Prof. en Art. Visuales - Orientación EsCultura
042;Prof. en Ciencias Sagradas
043;Prof. en Ed. Especial - Orientación en Discapacidad Intelectual
044;Téc. de Mecánica Dental
045;Téc. en Gestión Jurídica
046;Téc. Sup. en Acompañamiento Terapéutico
047;Téc. Sup. en Administración de Empresas c/o en Comercialización
048;Téc. Sup. en Administración de Empresas c/o en marketing
049;Téc. Sup. en Administración de Empresas c/o en pymes
050;Téc. Sup. en Administración de Empresas c/o en recursos humanos
051;Téc. Sup. en Administración de servicios de Salud
052;Téc. Sup. en Administración de servicios gastronómicos
053;Téc. Sup. en Administración Financiera
054;Téc. Sup. en Administración Publica
055;Téc. Sup. en Administración Publica c/o al Desarrollo Local
056;Téc. Sup. en Administración y Gestión de servicios de Salud
057;Téc. Sup. en Agente Sanitario y Promotor de la Salud
058;Téc. Sup. en Arte Regional
059;Téc. Sup. en Artesanias
060;Téc. Sup. en Asistencia Odontológica
061;Téc. Sup. en Asistencia Odontológica y Promotor de la Salud Bucodental
062;Téc. Sup. en Automatización y Robótica
063;Téc. Sup. en Ciencia de Datos e Inteligencia Artificial
064;Téc. Sup. en Cocina Regional y Cultura Alimentaria
065;Téc. Sup. en Comercialización
066;Téc. Sup. en Comercio Internacional y Régimen Aduanero
067;Téc. Sup. en Comunicación Social con Orientación en Medios Digitales
068;Téc. Sup. en Desarrollo de Software
069;Téc. Sup. en Desarrollo Indígena
070;Téc. Sup. en Diseño Gráfico
071;Téc. Sup. en Diseño Multimedia Digital
072;Téc. Sup. en Emprendurismo y Economía Comunitaria
073;Téc. Sup. en Entrenamiento Deportivo
074;Téc. Sup. en Estadísticas de Salud
075;Téc. Sup. en Esterilización
076;Téc. Sup. en Farmacia
077;Téc. Sup. en Gerontología
078;Téc. Sup. en Gestión Agropecuaria con Orientación al Desarrollo Local
079;Téc. Sup. en Gestión Ambiental
080;Téc. Sup. en Gestión Cooperativa
081;Téc. Sup. en Gestión de Energías Renovables
082;Téc. Sup. en Gestión de la Producción Agropecuaria
083;Téc. Sup. en Gestión e Impacto Ambiental
084;Téc. Sup. en Gestión Integrada en Calidad, Medio Ambiente y Seguridad
085;Téc. Sup. en Gestión Jurídica
086;Téc. Sup. en Gestión y Prevención de Emergencias
087;Téc. Sup. en Guía de Turismo
088;Téc. Sup. en Guía de Turismo Comunitario
089;Téc. Sup. en Hemoterapia
090;Téc. Sup. en Higiene y Seguridad en el Trabajo
091;Téc. Sup. en Hotelería
092;Téc. Sup. en Instrumentación Quirúrgica
093;Téc. Sup. en Laboratorio de Análisis Clínico
094;Téc. Sup. en Logista Empresarial
095;Téc. Sup. en Logística
096;Téc. Sup. en Mantenimiento Industrial
097;Téc. Sup. en Mecánica Automotriz
098;Téc. Sup. en Mecatrónica
099;Téc. Sup. en Museología
100;Téc. Sup. en Niñez, Adolescencia y Familia
101;Téc. Sup. en Piscicultura
102;Téc. Sup. en Podología
103;Téc. Sup. en Preparación Física
104;Téc. Sup. en Psicomotricidad
105;Téc. Sup. en Química Agroindustrial
106;Téc. Sup. en Recursos Humanos
107;Téc. Sup. en Régimen Aduanero y Comercio Exterior
108;Téc. Sup. en Seguridad Vial y Accidentología
109;Téc. Sup. en Sistemas Eléctricos
110;Téc. Sup. en Soporte de Infraestructura de Tecnología de la Información
111;Téc. Sup. en Teatro
112;Téc. Sup. en Tecnología de los Alimentos
113;Téc. Sup. en Turismo
114;Tecnología de los Alimentos
115;Téc. Sup. en Química Sustentable
116;Téc. Sup. en Arte Regional con Orientación en Cerámica y Escultura
117;Téc. Sup. en Diseño de Indumentaria
